# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.0005        	-4.975890e+03	2.487945e+03	-8.558465e-06	-4.975890e+03	4.975890e+03
0.001         	-9.940130e+00	4.970093e+00	9.242480e-06	-9.940125e+00	9.940134e+00
0.0015        	-5.800113e+00	2.900048e+00	-2.595076e-06	-5.800114e+00	5.800111e+00
0.002         	-9.572388e+00	4.786193e+00	-2.546807e-07	-9.572388e+00	9.572388e+00
0.0025        	-9.818306e+00	4.909157e+00	1.151631e-06	-9.818306e+00	9.818307e+00
0.003         	-9.539145e+00	4.769574e+00	4.837023e-07	-9.539145e+00	9.539146e+00
0.0035        	-9.117216e+00	4.558608e+00	1.020905e-07	-9.117216e+00	9.117216e+00
0.004         	-8.667632e+00	4.333816e+00	1.225149e-07	-8.667632e+00	8.667632e+00
0.0045        	-8.231248e+00	4.115624e+00	1.170302e-07	-8.231248e+00	8.231248e+00
0.005         	-7.823810e+00	3.911905e+00	-1.918811e-08	-7.823810e+00	7.823810e+00
0.0055        	-7.449797e+00	3.724899e+00	6.531142e-08	-7.449797e+00	7.449797e+00
0.006         	-7.109241e+00	3.554620e+00	2.751291e-08	-7.109241e+00	7.109241e+00
0.0065        	-6.799826e+00	3.399913e+00	5.741744e-08	-6.799826e+00	6.799826e+00
0.007         	-6.519623e+00	3.259811e+00	1.704675e-08	-6.519623e+00	6.519623e+00
0.0075        	-6.264936e+00	3.132468e+00	7.718994e-08	-6.264936e+00	6.264936e+00
0.008         	-6.033021e+00	3.016510e+00	-8.185456e-08	-6.033021e+00	6.033021e+00
0.0085        	-5.822206e+00	2.911103e+00	1.888461e-08	-5.822206e+00	5.822206e+00
0.009         	-5.629933e+00	2.814967e+00	5.768847e-09	-5.629933e+00	5.629933e+00
0.0095        	-5.454145e+00	2.727072e+00	-1.918587e-09	-5.454145e+00	5.454145e+00
0.01          	-5.293042e+00	2.646521e+00	-8.163084e-08	-5.293043e+00	5.293042e+00
0.0105        	-5.145048e+00	2.572524e+00	6.266713e-09	-5.145048e+00	5.145048e+00
0.011         	-5.008779e+00	2.504390e+00	2.079177e-09	-5.008779e+00	5.008779e+00
0.0115        	-4.883020e+00	2.441510e+00	-1.049912e-07	-4.883020e+00	4.883020e+00
0.012         	-4.766634e+00	2.383317e+00	-2.607826e-08	-4.766634e+00	4.766634e+00
0.0125        	-4.658766e+00	2.329383e+00	-2.184149e-08	-4.658766e+00	4.658766e+00
0.013         	-4.558682e+00	2.279341e+00	-1.520984e-08	-4.558682e+00	4.558682e+00
0.0135        	-4.465589e+00	2.232794e+00	-4.438048e-08	-4.465589e+00	4.465589e+00
0.014         	-4.378833e+00	2.189416e+00	9.071989e-09	-4.378833e+00	4.378833e+00
0.0145        	-4.297831e+00	2.148916e+00	1.293675e-08	-4.297831e+00	4.297831e+00
0.015         	-4.222065e+00	2.111032e+00	1.526128e-08	-4.222065e+00	4.222065e+00
0.0155        	-4.151076e+00	2.075538e+00	-3.002610e-08	-4.151076e+00	4.151076e+00
0.016         	-4.084455e+00	2.042228e+00	2.038170e-08	-4.084455e+00	4.084455e+00
0.0165        	-4.021838e+00	2.010919e+00	5.994317e-08	-4.021838e+00	4.021838e+00
0.017         	-3.962898e+00	1.981449e+00	1.334645e-08	-3.962898e+00	3.962898e+00
0.0175        	-3.907343e+00	1.953672e+00	5.322169e-08	-3.907343e+00	3.907343e+00
